dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-E,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LL,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-LN,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-Isite-L1S0-W,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-E,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,merged__interaction__lognormal,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,merged__interaction__weibull,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LL,NA,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LN,merged__interaction__coxph,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LN,merged__interaction__exponential,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L1S0-LN,merged__interaction__loglogistic,interaction,Interaction,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
