dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,component,term,estimate,boot_n_success_estimate,boot_success_rate_estimate,estimate_ci_lower,estimate_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,interaction,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,latency,age_s:sex_num,-1.4017953481286605,1000,1,-9.026816993653728,9.136400797258393,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,latency,(Intercept),1.4954695423100008,1000,1,0.5162086210278591,4.672566690308457,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,latency,age_s,-0.02965815173885308,1000,1,-1.1964994872096169,6.809318045637829,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,latency,sex_num,0.8892026601357461,1000,1,-1.495577200576152,10.95246820386992,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,latency,age_s:sex_num,-1.9227661203146225,1000,1,-13.665972913638726,11.936244332830356,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,latency_auxiliary,log_shape_or_sigma,-0.32639280355269534,1000,1,-0.7346124342368953,0.26447594294908844,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,latency,(Intercept),1.3213630546855262,1000,1,-0.03232336950180953,4.633584828013249,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,latency,age_s,0.5774650027146806,1000,1,-1.056959469931657,7.457566479152376,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,latency,sex_num,0.9711098071645816,1000,1,-1.5348800103419202,13.59287346008767,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,latency,age_s:sex_num,-2.077929749054,1000,1,-13.89077803346412,12.336673605447238,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
